name,prompt,response,group_prompt,sub_scale ,coding,page,,,
consistency_birth_month,In what month of the year were you born? ,January | February | March | April | May | June | July | August | September | October | November | December ,,Consistency,,1,,,
birth_year,In which year were you born?,number,,Consistency,,1,,,
education,What is the highest level of education you have completed? ,Less than a high school diploma | High school diploma | Some college or vocational training | 2-year college degree | 4-year college degree | Post-college degree | Other ,Please tell us more about yourself ,,,2,,,
income,"Thinking back over the past year, what was your family's annual income?","Less than $10,000 | $10,000-$19,999 | $20,000-$29,999 | $30,000-$39,999 | $40,000-$49,999 | $50,000-$74,999 | $75,000-$99,999 | $100,000-$149,999 | $150,000 or more",Please tell us more about yourself ,,,2,,,
political_fiscal,"Thinking about economic issues, which of the following best describes your views?",Strongly Liberal | Somewhat Liberal | Moderate | Somewhat Conservative | Strongly Conservative ,Please tell us more about yourself ,,,2,,,
political_social,"Thinking about social issues, which of the following best describes your views?",Strongly Liberal | Somewhat Liberal | Moderate | Somewhat Conservative | Strongly Conservative ,Please tell us more about yourself ,,,2,,,
political_party,"Generally speaking, do you consider yourself a...",Democrat | Republican | Independent | Other Party ,Please tell us more about yourself ,,,2,,,
gender,What is your gender?,Male | Female | Other,Please tell us more about yourself ,,,2,,,
race,Please choose one or more races that you consider yourself to be,White & Black or African-American & American Indian or Alaska Native & Asian & Native Hawaiian or other Pacific Islander & Other ,Please tell us more about yourself ,,,2,,,
country,In which country do you reside?,text,Please tell us more about yourself ,,,2,,,
zip_code,In which Zip Code do you reside?,number,Please tell us more about yourself ,,,2,,,
marital_status,What is your marital status?,Single Never Married | Married or Domestic Partnership | Widowed | Divorced | Separated ,Please tell us more about yourself ,,,2,,,
projects_attention,"I prefer to think about small, daily projects to long-term ones",Strongly Disagree | Disagree | Neither | Agree | Strongly Agree,Please indicate the extent to which you agree with the following statements.,Attention,,2,,,
little_thought_attention,I like tasks that require little thought once I've learned them,Strongly Disagree | Disagree | Neither | Agree | Strongly Agree,Please indicate the extent to which you agree with the following statements.,Attention,,2,,,Please indicate the extent to which you agree with the following statements.
relying_thought_attention,The idea of relying on thought to make my way to the top appeals to me ,Strongly Disagree | Disagree | Neither | Agree | Strongly Agree,Please indicate the extent to which you agree with the following statements.,Attention,,2,,,
new_solutions_attention,I really enjoy a task that involves coming up with new solutions to problems ,Strongly Disagree | Disagree | Neither | Agree | Strongly Agree,Please indicate the extent to which you agree with the following statements.,Attention,,2,,,
main_attention,I currently don't pay attention to the questions I'm being asked in the survey,Strongly Disagree | Disagree | Neither | Agree | Strongly Agree,Please indicate the extent to which you agree with the following statements.,Attention,,2,,,
new_ways_attention,Learning new ways to think doesn't excite me very much ,Strongly Disagree | Disagree | Neither | Agree | Strongly Agree,Please indicate the extent to which you agree with the following statements.,Attention,,2,,,
unique,I enjoy being unique and different from others in many ways.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IR,positive,3,,,
own_thing,I often do Òmy own thing.Ó,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IR,positive,3,,,
unique_ind,I am a unique individual.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IR,positive,3,,,
happiness,My happiness depends very much on the happiness of those around me.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive,3,,,
relationship,I often have the feeling that my relationships with others are more important than my own accomplishments.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive,3,,,
pride,"If a coworker got a prize, I would feel proud.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive,3,,,
pleasure,"To me, pleasure is spending time with others.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive,3,,,
well_being,The well-being of my coworkers is important to me.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive,3,,,
cooperate,I feel good when I cooperate with others.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive,3,,,
membership,"Overall, my group memberships have very little to do with how I feel about myself.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive,3,,,
social_group,The social groups I belong to are an important reflection of who I am.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive,3,,,
comprehension_pitched,"Based on the instructions you have just read, once a story is pitched to you what do
you have to do?
Please re-read the study instructions above if you are not sure. You will have two
opportunities to get this question correct.",Judge how well written they are | Sort them into positive or negative reviews | Nothing,"You are a senior editor at a daily newspaper. You have two major tasks: First, many
journalists keep pitching stories to you. You are the one who must sort them into positive or
negative news, while your fact-checking department verifies their content. Second, once
you get the actual true story from your fact-checking department, it is your responsibility to
check that a photo that someone from your photography department has proposed to go
with the story actually matches with the true story (yes vs. no) that was verified by your fact-
checking department.",Comprehension,,3,,,
comprehension_photo,"Based on the instructions you have just read, once you get the true story what do
you have to do?
Please re-read the study instructions above if you are not sure. You will have two
opportunities to get this question correct.",Rate how accurate it is | Nothing | Check that the photo provided matches the true story,"You are a senior editor at a daily newspaper. You have two major tasks: First, many
journalists keep pitching stories to you. You are the one who must sort them into positive or
negative news, while your fact-checking department verifies their content. Second, once
you get the actual true story from your fact-checking department, it is your responsibility to
check that a photo that someone from your photography department has proposed to go
with the story actually matches with the true story (yes vs. no) that was verified by your fact-
checking department.",Comprehension,,3,,,
self_image,"In general, belonging to social groups is an important part of my self-image.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive,4,,,
social_sense,The social groups I belong to are unimportant to my sense of what kind of a person I am.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive,4,,,
self_doing,What happens to me is my own doing.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive,4,,,
family_doing,"I tend to do my own things, and most people in my family do the same.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive,4,,,
merits_company,Individuals should be judged on their own merits not on the company they keep.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive,4,,,
difficult_problem_advice,"When faced with a difficult person problem, it is better to decide what to do yourself rather than follow the advice of others.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive,4,,,
aware,"People should be aware that if they are going to be part of a group, they sometimes will have to do things they donâ€™t want to do.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive,4,,,
sacrifice_interest,I usually sacrifice my self-interest for the benefit of the group I am in.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive,4,,,
respect_decisions,It is important to me to respect decisions made by the group.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive,4,,,
group_slow,"If the group is slowing me down, it is better to leave it and work alone. (R)",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,reverse,4,,,
stay_group,"I will stay in a group if they need me, even when Iâ€™m not happy with the group.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive,4,,,
independent_life,One should live oneâ€™s life independent of others as much as possible.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IV,positive,4,,,
attention_job,I would prefer to work at a job that pays higher rather than one that's closer to me and pays less,1-Strongly Disagree | 2 | 3 | 4 | 5 | 6 | 7-Strongly Agree,"The following questions require you to voice your opinion using the scales below. It is important that you take the time to read all instructions and that you read questions carefully before you answer them. Previous research on preferences has found that some people do not take the time to read everything that is displayed in the questionnaire. The questions below serve to test whether you actually take the time to do so. Therefore, if you read this, please answer 'two' on the first question, add three to that number and use the result as the answer on the second question. Thank you for participating and taking the time to read all instructions. ",Attention,,4,,,
attention_family,I would prefer to live closer to my family even if it means I'd have less employment opportunities,1-Strongly Disagree | 2 | 3 | 4 | 5 | 6 | 7-Strongly Agree,"The following questions require you to voice your opinion using the scales below. It is important that you take the time to read all instructions and that you read questions carefully before you answer them. Previous research on preferences has found that some people do not take the time to read everything that is displayed in the questionnaire. The questions below serve to test whether you actually take the time to do so. Therefore, if you read this, please answer 'two' on the first question, add three to that number and use the result as the answer on the second question. Thank you for participating and taking the time to read all instructions. ",Attention,,4,,,
vpns_emergency_number,"If you had an emergency, what telephone number would you dial?",111 | 000 | 911 | 119,,VPNs,,5,,,
consistency_age,What is your age? ,number,,Consistency,,6,,,
honesty_eligibility ,"If you fit those criteria, would you like to be invited to that study? ",Yes (I fit those criteria and want to take part) | No (I don't fit those criteria) | No (I fit those criteria but don't want to take part),"One last thing before you go! 

We are planning another study and we're looking for specific people to take part in it. Because we're looking for people with specific characteristics, we'll be offering a considerably higher pay for a relatively short study (the effective rate may be $20 an hour). 

The type of people we are currently looking for should be 1) Female and 2) Between the ages of 49 to 58. ",Honesty,,7,,,
