name,prompt,response,group_prompt,sub_scale,coding
outgoing,"I am someone who is outgoing, sociable",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
quiet,I am someone who tends to be quiet,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,reverse
shy,"I am someone who is sometimes shy, introverted",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,reverse
talkative,I am someone who is talkative,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
assertive,I am someone who has an assertive personality,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
dominant,"I am someone who is dominant, acts as a leader",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
influence,I am someone who finds it hard to influence people,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,reverse
take_charge,I am someone who prefers to have others take charge,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,reverse
excited,I am someone who rarely feels excited or eager,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,reverse
active,I am someone who is less active than other people,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,reverse
energy,I am someone who is full of energy,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
enthusiasm,I am someone who shows a lot of enthusiasm,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_extraversion,positive
compassionate,"I am someone who is compassionate, has a soft heart",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are someone who likes to spend time with others? Please choose the options that indicates the extent to which you agree or disagree with each statement.",BFI_agreeableness,positive
