name,prompt,response,group_prompt
creative,Thinking up new ideas and being creative is important to him. He likes to do things in his own original way.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
make_decisions,It is important to him to make his own decisions about what he does. He likes to be free to plan and not depend on others.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
treated_equally,He thinks it is important that every person in the world be treated equally. He believes everyone should have equal opportunities in life.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
people_different,"It is important to him to listen to people who are different from him. Even when he disagrees with them, he still wants to understand them.",Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
environment,He strongly believes that people should care for nature. Looking after the environment is important to him.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
well_being,It’s very important to him to help the people around him. He wants to care for their well-being.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
loyal,It is important to him to be loyal to his friends. He wants to devote himself to people close to him.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
humble,It is important to him to be humble and modest. He tries not to draw attention to himself.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
tradition,Tradition is important to him. He tries to follow the customs handed down by his religion or his family.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
rules,"He believes that people should do what they’re told. He thinks people should follow rules at all times, even when no-one is watching.",Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
avoid,It is important to him always to behave properly. He wants to avoid doing anything people would say is wrong.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
secure,It is important to him to live in secure surroundings. He avoids anything that might endanger his safety.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
citizens,It is important to him that the government ensure his safety against all threats. He wants the state to be strong so it can defend its citizens.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
money,It is important to him to be rich. He wants to have a lot of money and expensive things.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
respect,It is important to him to get respect from others. He wants people to do what he says.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
abilities,It’s important to him to show his abilities. He wants people to admire what he does.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
successful,Being very successful is important to him. He hopes people will recognize his achievement.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
spoil,Having a good time is important to him. He likes to “spoil” himself.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
pleasure,He seeks every chance he can to have fun. It is important to him to do things that give him pleasure.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
surprises,He likes surprises and is always looking for new things to do. He thinks it is important to do lots of different things in life.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
adventures,He looks for adventures and likes to take risks. He wants to have an exciting life.,Very much like me | Like me | Somewhat like me | A little like me | Not like me | Not at all like me,Below we briefly describe some people. Please read each description and think about how much each person is or is not like you. Tick the box to the right that shows how much the person in the description is like you. … How much like you is this person?”
