name,prompt,response,group_prompt,sub_scale,coding
unique,I enjoy being unique and different from others in many ways.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IR,positive
own_thing,I often do “my own thing.”,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IR,positive
unique_ind,I am a unique individual.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IR,positive
happiness,My happiness depends very much on the happiness of those around me.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive
relationship,I often have the feeling that my relationships with others are more important than my own accomplishments.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive
pride,"If a coworker got a prize, I would feel proud.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive
pleasure,"To me, pleasure is spending time with others.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive
well_being,The well-being of my coworkers is important to me.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive
cooperate,I feel good when I cooperate with others.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_RS,positive
membership,"Overall, my group memberships have very little to do with how I feel about myself.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive
social_group,The social groups I belong to are an important reflection of who I am.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive
self_image,"In general, belonging to social groups is an important part of my self-image.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive
social_sense,The social groups I belong to are unimportant to my sense of what kind of a person I am.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GS,positive
self_doing,What happens to me is my own doing.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive
family_doing,"I tend to do my own things, and most people in my family do the same.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive
merits_company,Individuals should be judged on their own merits not on the company they keep.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive
difficult_problem_advice,"When faced with a difficult person problem, it is better to decide what to do yourself rather than follow the advice of others.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IB,positive
aware,"People should be aware that if they are going to be part of a group, they sometimes will have to do things they don’t want to do.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive
sacrifice_interest,I usually sacrifice my self-interest for the benefit of the group I am in.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive
respect_decisions,It is important to me to respect decisions made by the group.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive
group_slow,"If the group is slowing me down, it is better to leave it and work alone.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,reverse
stay_group,"I will stay in a group if they need me, even when I’m not happy with the group.",Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_GV,positive
independent_life,One should live one’s life independent of others as much as possible.,Strongly disagree | Mostly disagree | Slightly disagree | Neither agree nor disagree | Slightly agree | Mostly agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,IRCS_IV,positive
