name,answer,image,response,image_local,prompt,group_prompt,page
Practice,panicked,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Practise.png,jealous | panicked | arrogant | hateful,/rme_images/RMET_Practise.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",
1,playful,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face01.png,playful | comforting | irritated | bored,/rme_images/RMET_Face01.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",1
2,upset,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face02.png,terrified | upset | arrogant | annoyed,/rme_images/RMET_Face02.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",2
3,desire,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face03.png,flustered | joking | desire | convinced,/rme_images/RMET_Face03.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",3
4,insisting,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face04.png,joking | insisting | amused | relaxed,/rme_images/RMET_Face04.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",4
5,worried,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face05.png,irritated | sarcastic | worried | friendly,/rme_images/RMET_Face05.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",5
6,fantasizing,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face06.png,aghast | fantasizing | impatient | alarmed,/rme_images/RMET_Face06.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",6
7,uneasy,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face07.png,apologetic | friendly | uneasy | dispirited,/rme_images/RMET_Face07.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",7
8,despondent,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face08.png,despondent | relieved | shy | excited,/rme_images/RMET_Face08.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",8
9,preoccupied,https://raw.githubusercontent.com/markwhiting/rme/master/RMET_Face09.png,annoyed | hostile | horrified | preoccupied,/rme_images/RMET_Face09.png,Select the word that best describes what the person in the picture is thinking or feeling,"For each pair of eyes, select one of the four emotion words that best describes what the person in the picture is thinking or feeling. Before making your selection, please make sure that you have read all 4 words. You may feel that more than one word is applicable, but select the one word that you consider to be most suitable.",9
